Source,Australia Central,Australia Central 2,Australia East,Australia Southeast,Brazil South,Canada Central,Canada East,Central India,Central US,East Asia,East US,East US 2,France Central,France South,Germany North,Germany West Central,Israel Central,Italy North,Japan East,Japan West,Korea Central,Korea South,North Central US,North Europe,Norway East,Norway West,Poland Central,Qatar Central,South Africa North,South Africa West,South Central US,South India,Southeast Asia,Sweden Central,Switzerland North,Switzerland West,UAE Central,UAE North,UK South,UK West,West Central US,West Europe,West India,West US,West US 2
Australia Central,N/A,3.0,10.0,18.0,304.0,201.0,211.0,148.0,177.0,127.0,203.0,198.0,285.0,274.0,296.0,292.0,313.0,288.0,108.0,114.0,132.0,129.0,190.0,296.0,308.0,304.0,305.0,184.0,280.0,295.0,166.0,131.0,101,312.0,284.0,284.0,178.0,182.0,287.0,290.0,164.0,291.0,173,148,168.0
Australia Central 2,4.0,N/A,9.0,15.0,304.0,200.0,211.0,149.0,177.0,127.0,203.0,198.0,278.0,267.0,288.0,284.0,307.0,282.0,107.0,114.0,132.0,129.0,190.0,286.0,300.0,294.0,297.0,183.0,281.0,294.0,166.0,131.0,100,305.0,278.0,279.0,178.0,181.0,276.0,278.0,164.0,281.0,172,148,167.0
Australia East,10.0,9.0,N/A,16.0,316.0,196.0,206.0,147.0,174.0,123.0,201.0,197.0,293.0,267.0,297.0,296.0,306.0,281.0,103.0,110.0,131.0,135.0,184.0,291.0,302.0,306.0,301.0,182.0,280.0,294.0,162.0,131.0,91,306.0,278.0,279.0,177.0,180.0,280.0,284.0,160.0,287.0,170,140,161.0
Australia Southeast,19.0,15.0,16.0,N/A,312.0,207.0,216.0,137.0,185.0,119.0,213.0,207.0,266.0,255.0,277.0,272.0,294.0,267.0,115.0,122.0,143.0,137.0,195.0,282.0,290.0,286.0,286.0,171.0,268.0,282.0,173.0,119.0,86,294.0,265.0,261.0,165.0,168.0,272.0,275.0,171.0,273.0,160,153,174.0
Brazil South,305.0,304.0,317.0,312.0,N/A,131.0,136.0,307.0,149.0,323.0,119.0,118.0,190.0,186.0,204.0,199.0,226.0,198.0,278.0,280.0,303.0,309.0,137.0,189.0,210.0,199.0,209.0,296.0,327.0,311.0,142.0,327.0,344,213.0,197.0,193.0,284.0,287.0,179.0,182.0,163.0,186.0,322,186,183.0
Canada Central,201.0,199.0,194.0,205.0,130.0,N/A,15.0,213.0,24.0,205.0,20.0,23.0,102.0,98.0,115.0,110.0,136.0,110.0,158.0,165.0,235.0,177.0,17.0,99.0,113.0,108.0,126.0,208.0,239.0,221.0,47.0,236.0,223,123.0,109.0,104.0,195.0,198.0,89.0,92.0,38.0,95.0,235,61,60.0
Canada East,210.0,209.0,204.0,214.0,135.0,15.0,N/A,218.0,33.0,215.0,29.0,32.0,111.0,107.0,124.0,119.0,142.0,117.0,167.0,174.0,191.0,187.0,26.0,108.0,122.0,113.0,135.0,212.0,243.0,226.0,57.0,240.0,232,129.0,118.0,113.0,200.0,203.0,98.0,101.0,48.0,104.0,239,71,69.0
Central India,148.0,147.0,147.0,135.0,307.0,213.0,218.0,N/A,231.0,87.0,203.0,205.0,126.0,131.0,140.0,135.0,158.0,137.0,121.0,128.0,118.0,111.0,224.0,146.0,153.0,146.0,150.0,41.0,137.0,151.0,230.0,24.0,55,157.0,139.0,132.0,34.0,37.0,131.0,137.0,240.0,135.0,29,220,212.0
Central US,178.0,177.0,174.0,185.0,149.0,25.0,34.0,233.0,N/A,184.0,33.0,37.0,116.0,116.0,130.0,126.0,155.0,128.0,137.0,144.0,198.0,160.0,14.0,113.0,136.0,129.0,141.0,227.0,258.0,241.0,27.0,232.0,202,141.0,127.0,123.0,214.0,217.0,104.0,104.0,18.0,118.0,254,41,39.0
East Asia,124.0,123.0,120.0,114.0,320.0,203.0,212.0,84.0,180.0,N/A,213.0,206.0,212.0,201.0,223.0,219.0,241.0,216.0,49.0,42.0,40.0,33.0,191.0,227.0,236.0,232.0,233.0,118.0,216.0,230.0,171.0,66.0,36,240.0,212.0,214.0,116.0,118.0,217.0,220.0,167.0,219.0,105,151,143.0
